#pK pK_min pK_max cos_cm cos_cm_err Entry
738 737 739 0.266667 0.0666667 221.754
738 737 739 0.4 0.0666667 245.319
738 737 739 0.533333 0.0666667 260.183
738 737 739 0.666667 0.0666667 259.276
738 737 739 0.8 0.0666667 279.7
738 737 739 0.933333 0.0666667 293.536
742 741 743 -0.933333 0.0666667 408.745
742 741 743 -0.8 0.0666667 297.476
742 741 743 -0.666667 0.0666667 290.957
742 741 743 -0.533333 0.0666667 232.917
742 741 743 -0.4 0.0666667 219.373
742 741 743 -0.266667 0.0666667 178.043
742 741 743 -0.133333 0.0666667 182.283
742 741 743 -2.77556e-17 0.0666667 202.537
742 741 743 0.133333 0.0666667 184.752
742 741 743 0.266667 0.0666667 204.626
742 741 743 0.4 0.0666667 228.93
742 741 743 0.533333 0.0666667 213.423
742 741 743 0.666667 0.0666667 238.614
742 741 743 0.8 0.0666667 239.816
742 741 743 0.933333 0.0666667 266.969
746 745 747 -0.933333 0.0666667 312.264
746 745 747 -0.8 0.0666667 250.569
746 745 747 -0.666667 0.0666667 232.565
746 745 747 -0.533333 0.0666667 209.127
746 745 747 -0.4 0.0666667 208.03
746 745 747 -0.266667 0.0666667 152.372
746 745 747 -0.133333 0.0666667 185.36
746 745 747 -2.77556e-17 0.0666667 188.379
746 745 747 0.133333 0.0666667 189.861
746 745 747 0.266667 0.0666667 189.203
746 745 747 0.4 0.0666667 186.239
746 745 747 0.533333 0.0666667 185.745
746 745 747 0.666667 0.0666667 185.745
746 745 747 0.8 0.0666667 187.062
746 745 747 0.933333 0.0666667 188.05
750 749 751 -0.933333 0.0666667 208.655
750 749 751 -0.8 0.0666667 160.885
750 749 751 -0.666667 0.0666667 149.932
750 749 751 -0.533333 0.0666667 146.195
750 749 751 -0.4 0.0666667 153.707
750 749 751 -0.266667 0.0666667 124.956
750 749 751 -0.133333 0.0666667 118.962
750 749 751 -2.77556e-17 0.0666667 102.903
750 749 751 0.133333 0.0666667 119.887
750 749 751 0.266667 0.0666667 122.403
750 749 751 0.4 0.0666667 119.776
750 749 751 0.533333 0.0666667 133.504
750 749 751 0.666667 0.0666667 148.193
750 749 751 0.8 0.0666667 149.562
750 749 751 0.933333 0.0666667 182.79
754 753 755 -0.933333 0.0666667 151.493
754 753 755 -0.8 0.0666667 121.555
754 753 755 -0.666667 0.0666667 118.648
754 753 755 -0.533333 0.0666667 115.218
754 753 755 -0.4 0.0666667 110.655
754 753 755 -0.266667 0.0666667 95.0172
