# E72Physics physics runs only; source run lists: /home/had/haein/work/e72/ana/e72/runmanager/runlist/tpc_runinfo
# K-beam normalization: scaler K-Beam; DAQ-Eff is K-Beam weighted.
# TRIG-D is retained only as a diagnostic scaler counter.
# rows are globally sorted by run number.
# momentum_mev run nKbeam_K-Beam TRIG-D DAQ-Eff K-BeamxDAQ-Eff run_list
  735  2487      2117057      2117059  0.673051 1424887.330907 E72Physics_735_7.txt
  715  2611     12210950     12210960  0.819678 10009047.074100 E72Physics_715_1.txt
  715  2612      5604524      5604531  0.820584 4598982.722016 E72Physics_715_1.txt
  715  2615     11791271     11791281  0.822256 9695443.327376 E72Physics_715_1.txt
  715  2616     13488019     13488040  0.822997 11100599.172943 E72Physics_715_1.txt
  715  2618     11759901     11759920  0.824876 9700460.097276 E72Physics_715_1.txt
  715  2619     11595918     11595922  0.826349 9582275.243382 E72Physics_715_1.txt
  715  2622     11439483     11439490  0.827437 9465451.495071 E72Physics_715_1.txt
  715  2623     13121779     13121802  0.827475 10857944.078025 E72Physics_715_1.txt
  715  2624     12558979     12558994  0.827723 10395355.774817 E72Physics_715_1.txt
  715  2625     10764339     10764346  0.827466 8907124.534974 E72Physics_715_1.txt
  715  2626     12450288     12450302  0.828397 10313781.228336 E72Physics_715_1.txt
  715  2627     13042246     13042272  0.829545 10819129.958070 E72Physics_715_1.txt
  715  2628     11386108     11386121  0.829037 9439504.817996 E72Physics_715_1.txt
  715  2629      6031875      6031877  0.826476 4985199.922500 E72Physics_715_1.txt
  715  2630       600361       600361  0.830904  498842.356344 E72Physics_715_1.txt
  715  2631     10727929     10727941  0.830478 8909309.020062 E72Physics_715_1.txt
  715  2632      2103491      2103493  0.819948 1724753.238468 E72Physics_715_1.txt
  715  2633      4454412      4454419  0.831753 3704970.544236 E72Physics_715_1.txt
  715  2634      2860553      2860555  0.829975 2374187.476175 E72Physics_715_1.txt
  715  2648      1893714      1893715  0.826213 1564611.125082 E72Physics_715_2.txt
  715  2650     12267205     12267218  0.823557 10102742.548185 E72Physics_715_2.txt
  715  2651     12257042     12257054  0.816186 10004026.081812 E72Physics_715_2.txt
  715  2652     12780971     12780985  0.807268 10317668.897228 E72Physics_715_2.txt
  715  2653     11571414     11571419  0.802971 9291509.870994 E72Physics_715_2.txt
  715  2655      2267601      2267606  0.800595 1815430.022595 E72Physics_715_2.txt
  715  2682     12332586     12332594  0.820329 10116777.940794 E72Physics_715_3.txt
  715  2683     12281534     12281543  0.813672 9993140.332848 E72Physics_715_3.txt
  715  2684     11917578     11917587  0.812611 9684354.976158 E72Physics_715_3.txt
  715  2686     12477816     12477829  0.810306 10110849.171696 E72Physics_715_3.txt
  715  2687      7666625      7666634  0.808713 6200099.303625 E72Physics_715_3.txt
  715  2689     13623070     13623075  0.806966 10993354.305620 E72Physics_715_3.txt
  715  2690     14281882     14281907  0.804653 11491959.196946 E72Physics_715_3.txt
  715  2691     12685718     12685727  0.800082 10149614.628876 E72Physics_715_3.txt
  715  2692     12424695     12424705  0.799319 9931294.782705 E72Physics_715_3.txt
  715  2693      5591120      5591128  0.797383 4458264.038960 E72Physics_715_3.txt
  715  2695     12542320     12542340  0.792051 9934157.098320 E72Physics_715_3.txt
  715  2697     12972015     12972031  0.820706 10646210.542590 E72Physics_715_4.txt
  715  2699       102217      1560632  1.000000  102217.000000 E72Physics_715_4.txt
  715  2700      1199806      1199809  0.819356  983068.244936 E72Physics_715_4.txt
  715  2702     12112871     12112885  0.819241 9923360.550911 E72Physics_715_4.txt
  715  2703     12816759     12816776  0.820000 10509742.380000 E72Physics_715_4.txt
  715  2704     11655848     11655858  0.821524 9575558.872352 E72Physics_715_4.txt
  715  2705     11683146     11683151  0.822366 9607822.043436 E72Physics_715_4.txt
  715  2706     12372344     12372361  0.821820 10167839.746080 E72Physics_715_4.txt
  755  2708     23306977     23307013  0.784466 18283531.019282 E72Physics_755_1.txt
  755  2709     17256126     17256146  0.783796 13525282.534296 E72Physics_755_1.txt
  755  2710     17052362     17052387  0.785559 13395636.440358 E72Physics_755_1.txt
  755  2711      9101054      9101071  0.786868 7161328.158872 E72Physics_755_1.txt
  755  2713      8467110      8467129  0.784269 6640491.892590 E72Physics_755_1.txt
  755  2715      8640921      8640929  0.787038 6800733.181998 E72Physics_755_1.txt
  755  2718     14521799     14521803  0.787796 11440215.165004 E72Physics_755_1.txt
  755  2719     11131461     11131479  0.786927 8759647.210347 E72Physics_755_1.txt
  755  2721     17999711     17999734  0.787510 14174952.409610 E72Physics_755_1.txt
  755  2722     17283175     17283195  0.787877 13617016.069475 E72Physics_755_1.txt
  755  2723     10645303     10645309  0.785675 8363748.434525 E72Physics_755_1.txt
  755  2724     18896288     18896317  0.786993 14871246.381984 E72Physics_755_1.txt
  755  2725     16708909     16708939  0.787495 13158182.292955 E72Physics_755_1.txt
  755  2726     11002360     11002366  0.785559 8643002.919240 E72Physics_755_1.txt
  755  2729       443795       443795  0.758411  336579.009745 E72Physics_755_1.txt
  755  2731      4355725      4355730  0.784747 3418142.126575 E72Physics_755_1.txt
  755  2732     12957711     12957738  0.788391 10215742.733001 E72Physics_755_1.txt
  755  2734     10181132     10181140  0.788958 8032485.540456 E72Physics_755_1.txt
  755  2735      5836314      5836329  0.790038 4610909.839932 E72Physics_755_1.txt
  755  2736      2302471      2302471  0.789897 1818714.935487 E72Physics_755_1.txt
  755  2738      8139883      8139885  0.815549 6638473.440767 E72Physics_755_1.txt
  755  2739      4853024      4853024  0.812777 3944426.287648 E72Physics_755_1.txt
  755  2741     15072663     15072687  0.814314 12273880.498182 E72Physics_755_1.txt
  755  2742     14025641     14025661  0.813918 11415721.671438 E72Physics_755_1.txt
  755  2747     15891128     15891146  0.814214 12938778.893392 E72Physics_755_1.txt
  755  2748     14010735     14010743  0.812317 11381158.222995 E72Physics_755_1.txt
  755  2749     13239898     13239909  0.810861 10735716.932178 E72Physics_755_1.txt
  755  2750     12767400     12767429  0.808447 10321766.227800 E72Physics_755_1.txt
  755  2751     13747075     13747084  0.804987 11066216.663025 E72Physics_755_1.txt
  755  2752     13150061     13150071  0.801747 10543021.956567 E72Physics_755_1.txt
  755  2753     13660384     13660396  0.800383 10933539.127072 E72Physics_755_1.txt
  755  2754     14733963     14733985  0.795700 11723814.359100 E72Physics_755_1.txt
  755  2755      1303275      1303275  0.780969 1017817.373475 E72Physics_755_1.txt
  755  2757     11506091     11506097  0.794149 9137550.661559 E72Physics_755_1.txt
  755  2759     18038744     18038764  0.793972 14322257.651168 E72Physics_755_1.txt
  755  2760     13658674     13658681  0.796800 10883231.443200 E72Physics_755_1.txt
  755  2761     12812957     12812961  0.796160 10201163.845120 E72Physics_755_1.txt
  755  2762     13733364     13733384  0.795325 10922487.723300 E72Physics_755_1.txt
  755  2763     13931979     13931999  0.794995 11075853.645105 E72Physics_755_1.txt
  755  2764     14490819     14490829  0.792255 11480423.806845 E72Physics_755_1.txt
  755  2767     12504385     12504398  0.799291 9994642.391035 E72Physics_755_1.txt
  755  2768     13917637     13917660  0.800468 11140623.054116 E72Physics_755_1.txt
  755  2769     14773885     14773897  0.803422 11869664.234470 E72Physics_755_1.txt
  755  2770     13606721     13606732  0.805109 10954893.537589 E72Physics_755_1.txt
  755  2771     12990684     12990697  0.806260 10473868.881840 E72Physics_755_1.txt
  755  2772     22512873     22512892  0.806805 18163498.500765 E72Physics_755_1.txt
  715  2776     12570763     12570788  0.821846 10331231.288498 E72Physics_715_5.txt
  715  2777     16699362     16699389  0.819813 13690354.059306 E72Physics_715_5.txt
  715  2778      8509126      8509134  0.820121 6978512.924246 E72Physics_715_5.txt
  715  2779     14596321     14596338  0.824007 12027470.678247 E72Physics_715_5.txt
  715  2780     15026575     15026597  0.822752 12363144.634400 E72Physics_715_5.txt
  715  2781     23172876     23172913  0.825264 19123740.339264 E72Physics_715_5.txt
  715  2782     17519625     17519645  0.825139 14456125.852875 E72Physics_715_5.txt
  715  2783     13674482     13674507  0.826454 11301330.346828 E72Physics_715_5.txt
  715  2784     13501922     13502054  0.740153 9993488.074066 E72Physics_715_5.txt
  715  2785     12908882     12908893  0.826946 10674948.334372 E72Physics_715_5.txt
  715  2787     12074043     12074054  0.827864 9995665.534152 E72Physics_715_5.txt
  715  2788      2508097      2508099  0.826271 2072367.816287 E72Physics_715_5.txt
  715  2790     12529338     12529348  0.827203 10364305.981614 E72Physics_715_5.txt
  715  2791     12787755     12787770  0.827326 10579642.193130 E72Physics_715_5.txt
  715  2792     12657347     12657361  0.827689 10476346.881083 E72Physics_715_5.txt
  715  2793     12123264     12123273  0.829854 10060539.123456 E72Physics_715_5.txt
  715  2794      1211422      1211421  0.829866 1005317.929452 E72Physics_715_5.txt
  715  2796     12011940     12011951  0.831174 9984012.217560 E72Physics_715_5.txt
  715  2797      7938713      7938719  0.827685 6570753.669405 E72Physics_715_5.txt
  790  2799      1285917      1285917  0.993552 1277625.407184 E72Physics_790_1.txt
  790  2800     14779308     14779323  0.837365 12375675.243420 E72Physics_790_1.txt
  790  2803     13061587     13061594  0.838622 10953734.213114 E72Physics_790_1.txt
  790  2804     12602238     12602250  0.836631 10543422.980178 E72Physics_790_1.txt
